societe,alias_fichier,ticker_yahoo,ticker_debut,ticker_fin,place,membre_actuel,remarque,donnees_attendues,plage_dates_disponibles
STMicroelectronics,STMicroelectronics,STMPA.PA,,,Paris,oui,,oui,non testé
Thales,Thales,HO.PA,,,Paris,oui,,oui,non testé
TotalEnergies,,TTE.PA,,,Paris,oui,Total renommé TotalEnergies en 2021 (ex-ticker FP.PA),oui,non testé
Unibail-Rodamco-Westfield,,URW.PA,,,Paris,oui,Unibail-Rodamco renommé URW en 2018 (ex-ticker UL.PA),oui (historique ancien à vérifier),non testé
Veolia,,VIE.PA,,,Paris,oui,,oui,non testé
Vinci,,DG.PA,,,Paris,oui,,oui,non testé
Alcatel-Lucent,Alcatel-Lucent,ALU.PA,,2016-11-02,Paris,non,Sortie le 07/01/2016 (rachat par Nokia) ; radiée fin 2016 ; seulement 3 séances utiles,probablement non (radiée),non testé
Alstom,Alstom,ALO.PA,,,Paris,non,Sortie 2016-03-21 ; retour 2020-09-21 ; sortie 2024-03-18,oui,non testé
Atos,Atos,ATO.PA,,,Paris,non,Membre 2017-03-20 → 2021-09-17 ; regroupement d'actions massif en 2024 (sans effet sur le signe),oui,non testé
Edenred,Edenred,EDEN.PA,,,Paris,non,Membre 2023-06-19 → 2025-12-22,oui,non testé
Klépierre,Klépierre,LI.PA,,,Paris,non,Membre jusqu'au 2017-03-20,oui,non testé
LafargeHolcim,LafargeHolcim,HOLN.SW,,,Zurich,non,Cotation principale Zurich ; renommée Holcim en 2021 ; membre jusqu'au 2018-06-18,oui,non testé
Nokia,Nokia,NOKIA.HE,,,Helsinki,non,Cotation principale Helsinki ; membre 2016-01-07 → 2017-09-18,oui,non testé
Sodexo,Sodexo,SW.PA,,,Paris,non,Membre 2016-03-21 → 2020-06-22,oui,non testé
Solvay,Solvay,SOLB.BR,,,Bruxelles,non,Cotation principale Bruxelles ; membre jusqu'au 2018-09-24,oui,non testé
Technip / TechnipFMC,,TEC.PA,,2017-01-16,Paris,non,Technip jusqu'à la fusion avec FMC Technologies (radié janv. 2017),probablement non (radié),non testé
Technip / TechnipFMC,TechnipFMC,FTI,2017-01-17,,New York,non,TechnipFMC ; avant le 17/01/2017 le ticker FTI = FMC Technologies (à exclure) ; membre jusqu'au 2020-03-23,oui,non testé
Teleperformance,Teleperformance,TEP.PA,,,Paris,non,Membre 2020-06-22 → 2025-09-22,oui,non testé
Valeo,Valeo,FR.PA,,,Paris,non,Membre jusqu'au 2019-06-24,oui,non testé
Vivendi,Vivendi,VIV.PA,,,Paris,non,Sortie 2023-06-19 ; retour 2023-12-18 ; sortie 2024-12-23 ; scission le 16/12/2024 (vérifier l'ajustement),oui,non testé
Worldline,Worldline,WLN.PA,,,Paris,non,Membre temporaire 2019-05-03 → 2019-06-24 puis 2020-03-23 → 2023-12-18,oui,non testé
EDF,EDF,EDF.PA,,,Paris,non,Sortie le 2015-12-21 (avant la période) ; radiée en 2023 ; inutile pour l'analyse,sans objet,non testé
Gemalto,Gemalto,GTO.AS,,,Amsterdam,non,Sortie le 2015-03-23 (avant la période) ; radiée en 2019 ; inutile pour l'analyse,sans objet,non testé
